,Date,Defect ID,Defect Qty,Downtime min,Vendor,Sub Category,Category,Material Type,Plant,Defect,Defect Type
33,2014-10-12,247,0,0,Scotcan,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
34,2014-10-12,247,0,0,Ronvivalam,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
35,2014-10-02,247,0,0,Dingfax,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
36,2014-10-02,247,0,0,Canphase,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
37,2014-10-02,247,0,0,betaity,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
38,2014-10-02,247,0,0,Villacom,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
39,2014-10-02,247,0,0,Villacom,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
40,2014-10-02,247,0,0,Villacom,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
41,2014-10-02,247,0,0,Scotcan,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
42,2014-10-01,247,0,0,Villacom,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
43,2014-09-28,247,0,0,Y-zoom,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
44,2014-09-28,247,0,0,Villacom,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
45,2014-09-28,247,0,0,Flexplex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
46,2014-09-28,247,0,0,una-phase,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
47,2014-09-27,247,0,0,Ronvivalam,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
48,2014-09-20,247,0,0,Dingfax,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
49,2014-09-20,247,0,0,Dingfax,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
50,2014-09-20,247,0,0,Fax-ex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
51,2014-09-20,247,0,0,Zoodrill,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
52,2014-09-20,247,0,0,Scotcan,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
53,2014-09-20,247,0,0,Ronplanet,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
54,2014-09-20,247,0,0,Ronvivalam,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
55,2014-09-20,247,0,0,Ronvivalam,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
56,2014-09-20,247,0,0,Ronvivalam,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
57,2014-09-17,247,0,0,Kantone,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
58,2014-09-17,247,0,0,Ronvivalam,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
59,2014-09-16,247,0,0,Scotcan,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
60,2014-09-15,247,0,0,Fax-ex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
61,2014-09-15,247,0,0,Zoodrill,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
62,2014-09-15,247,0,0,Ronplanet,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
63,2014-09-15,247,0,0,Ronplanet,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
64,2014-09-11,247,0,0,Unatrax,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
65,2014-09-11,247,0,0,Citytone,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
66,2014-09-11,247,0,0,Citytone,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
67,2014-09-11,247,0,0,Donplanet,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
68,2014-09-11,247,0,0,Geoit,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
69,2014-09-11,247,0,0,Geoit,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
70,2014-09-11,247,0,0,Subvivais,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
71,2014-09-11,247,0,0,Villacom,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
72,2014-09-11,247,0,0,Zoodrill,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
73,2014-09-11,247,0,0,Zoodrill,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
74,2014-09-11,247,0,0,Ronplanet,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
75,2014-09-11,247,0,0,Howtaxon,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
76,2014-09-11,247,0,0,Plusity,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
77,2014-09-11,247,0,0,Ranmedia,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
78,2014-09-08,247,0,0,Zoodrill,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
79,2014-09-08,247,0,0,Zoodrill,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
80,2014-09-08,247,0,0,Scothouse,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
81,2014-09-08,247,0,0,Villacom,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
82,2014-09-08,247,0,0,Flexplex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
83,2014-09-08,247,0,0,Flexplex,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
84,2014-09-08,247,0,0,Ronvivalam,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
85,2014-09-08,247,0,0,Ronvivalam,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
86,2014-09-08,247,0,0,Plusity,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,No Impact
87,2014-10-22,247,0,0,Donplanet,Goods & Services,Goods & Services,Raw Materials,"Monon, IN",Not Certified,Impact
88,2014-12-31,247,0,0,nimlab,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
89,2014-12-21,247,0,0,Villacom,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
90,2014-12-08,247,0,0,Zamlane,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
91,2014-12-07,247,0,0,Unahigh,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
92,2014-12-07,247,0,0,J-lax,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
93,2014-12-04,247,0,0,Tripple-fax,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
94,2014-11-27,247,0,0,Zathlane,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
95,2014-11-27,247,0,0,Zathlane,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
96,2014-11-26,247,0,0,tinron,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
97,2014-11-26,247,0,0,zotit,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
98,2014-11-26,247,0,0,zotit,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
99,2014-11-17,247,0,0,O-job,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
100,2014-11-11,247,0,0,Plexlamway,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
101,2014-11-11,247,0,0,Plusity,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
102,2014-11-11,247,0,0,Plusity,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
103,2014-11-07,247,0,0,re-can,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
104,2014-11-04,247,0,0,Tripple-fax,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
105,2014-11-04,247,0,0,Hayholding,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
106,2014-11-04,247,0,0,Jaylane,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
107,2014-11-04,247,0,0,Golddexon,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
108,2014-11-04,247,0,0,xx-bam,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
109,2014-11-04,247,0,0,Zamlane,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
110,2014-11-02,247,0,0,xx-bam,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
111,2014-10-30,247,0,0,J-lax,Logistics,Logistics,Raw Materials,"Davenport, IA",Not Certified,No Impact
112,2014-10-30,247,0,0,zen-holdings,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
113,2014-10-29,247,0,0,Strongtechnology,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
114,2014-10-29,247,0,0,Zathlane,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
115,2014-10-26,247,0,0,Tripple-fax,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
116,2014-10-26,247,0,0,Tripple-fax,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
117,2014-10-26,247,0,0,xx-bam,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
118,2014-10-23,247,0,0,Zoodrill,Mechanicals,Mechanicals,Raw Materials,"Skokie, IL",Not Certified,No Impact
119,2014-10-23,247,0,0,Howtaxon,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
120,2014-10-22,247,0,0,Scotfase,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
121,2014-10-17,247,0,0,Fax-ex,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
122,2014-10-16,247,0,0,Howtaxon,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
123,2014-10-08,247,0,0,Scotfase,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
124,2014-10-07,247,0,0,Saozoomtex,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
125,2014-10-05,247,0,0,Scotcan,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
126,2014-10-05,247,0,0,nimlab,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
127,2014-10-02,247,0,0,Saozoomtex,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
128,2014-09-27,247,0,0,Howtaxon,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
129,2014-09-27,247,0,0,Saozoomtex,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
130,2014-09-24,247,0,0,Zimex,Logistics,Logistics,Raw Materials,"Dayton, OH",Not Certified,No Impact
131,2014-09-24,247,0,0,Joyzim,Logistics,Logistics,Raw Materials,"Dayton, OH",Not Certified,No Impact
132,2014-09-24,247,0,0,Sonlex,Logistics,Logistics,Raw Materials,"Dayton, OH",Not Certified,No Impact
133,2014-09-24,247,0,0,Dingcan,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Not Certified,No Impact
134,2014-09-20,247,0,0,Dongbase,Logistics,Logistics,Raw Materials,"Dayton, OH",Not Certified,No Impact
135,2014-09-20,247,0,0,Scotcan,Logistics,Logistics,Raw Materials,"Dayton, OH",Not Certified,No Impact
136,2014-09-15,247,0,0,bluecorporation,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Not Certified,No Impact
137,2014-09-15,247,0,0,Dingcan,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Not Certified,No Impact
138,2014-09-14,247,0,0,Treedrill,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Not Certified,No Impact
139,2014-09-13,247,0,0,Danfan,Logistics,Logistics,Raw Materials,"Dayton, OH",Not Certified,No Impact
140,2014-09-10,247,0,0,Trustcorporation,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Not Certified,No Impact
141,2014-09-10,247,0,0,Xx-canex,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Not Certified,No Impact
142,2014-09-06,247,0,0,Condintex,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
143,2014-09-06,247,0,0,Condintex,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
144,2014-09-02,247,0,0,Saozoomtex,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
145,2014-08-24,247,0,0,ganz-is,Mechanicals,Mechanicals,Raw Materials,"Lansing, MI",Not Certified,No Impact
146,2014-08-24,247,0,0,ganz-is,Mechanicals,Mechanicals,Raw Materials,"Lansing, MI",Not Certified,No Impact
147,2014-05-13,247,0,0,Tripple-fax,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
148,2014-05-13,247,0,0,nimlab,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
149,2014-04-20,247,0,0,nimlab,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
150,2014-04-19,247,0,0,wareholding,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
151,2014-04-15,247,0,0,Dongbiolex,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
152,2014-04-02,247,0,0,Rankphase,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
153,2014-03-25,247,0,0,Fixcan,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
154,2014-03-25,247,0,0,Fasetech,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
155,2014-03-25,247,0,0,Fasetech,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
156,2014-03-11,247,0,0,Fax-ex,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Not Certified,No Impact
157,2014-03-08,78,0,0,planetron,Mechanicals,Mechanicals,Raw Materials,"Indianapolis, IN",Inclomplete,No Impact
158,2014-02-27,78,0,0,Zumcane,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
159,2014-02-22,78,0,0,Ronlamice,Mechanicals,Mechanicals,Raw Materials,"Indianapolis, IN",Inclomplete,No Impact
160,2014-02-22,78,0,0,Vaiazoom,Mechanicals,Mechanicals,Raw Materials,"Indianapolis, IN",Inclomplete,No Impact
161,2014-02-21,78,0,0,Scotfase,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
162,2014-02-20,78,0,0,xx-bam,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
163,2014-02-19,78,0,0,Howtaxon,Mechanicals,Mechanicals,Raw Materials,"Indianapolis, IN",Inclomplete,No Impact
164,2014-02-15,78,0,0,Zoodrill,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
165,2014-02-15,78,0,0,Zoodrill,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
166,2014-02-15,78,0,0,Zoodrill,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
167,2014-02-15,78,0,0,Zoodrill,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
168,2014-02-12,78,0,0,Zoodrill,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
169,2014-02-01,78,0,0,Fax-ex,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
170,2014-01-28,78,0,0,Matsanice,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
171,2014-01-28,78,0,0,Treedrill,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
172,2014-01-28,78,0,0,Treedrill,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
173,2014-01-28,78,0,0,Faxron,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
174,2014-01-28,78,0,0,Zerlane,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
175,2014-01-28,78,0,0,Flexplex,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
176,2014-01-28,78,0,0,bluecorporation,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
177,2014-01-28,78,0,0,bluecorporation,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
178,2014-01-15,78,0,0,zummatax,Mechanicals,Mechanicals,Raw Materials,"Indianapolis, IN",Inclomplete,No Impact
179,2014-01-14,78,0,0,Fasetech,Mechanicals,Mechanicals,Raw Materials,"Indianapolis, IN",Inclomplete,No Impact
180,2014-01-06,78,0,0,Flexplex,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
181,2014-01-06,78,0,0,Lamlab,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
182,2014-01-06,78,0,0,Villacom,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
183,2013-12-31,78,0,0,Singleholdings,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
184,2013-12-04,78,0,0,Flexplex,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
185,2013-12-04,78,0,0,Strongdax,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
186,2013-12-04,78,0,0,Medialax,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
187,2013-12-04,78,0,0,Villacom,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
188,2013-12-04,78,0,0,Villacom,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
189,2013-12-04,78,0,0,Ronvivalam,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
190,2013-12-04,78,0,0,Flexplex,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
191,2013-12-04,78,0,0,Treedrill,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
192,2013-12-04,78,0,0,Treedrill,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
193,2013-12-02,78,0,0,Rancan,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
194,2013-11-26,78,0,0,Treedrill,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
195,2013-11-26,78,0,0,Treedrill,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
196,2013-11-26,78,0,0,stripzim,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
197,2013-11-21,78,0,0,Goodquoing,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
198,2013-11-21,78,0,0,Flexplex,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
199,2013-11-20,78,0,0,Newzap,Mechanicals,Mechanicals,Raw Materials,"Indianapolis, IN",Inclomplete,No Impact
200,2013-11-18,78,0,0,zotit,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
201,2013-11-14,78,0,0,Condintex,Mechanicals,Mechanicals,Raw Materials,"Lansing, MI",Inclomplete,No Impact
202,2013-11-14,78,0,0,Condintex,Mechanicals,Mechanicals,Raw Materials,"Lansing, MI",Inclomplete,No Impact
203,2013-11-14,78,0,0,Condintex,Mechanicals,Mechanicals,Raw Materials,"Lansing, MI",Inclomplete,No Impact
204,2013-11-11,78,0,0,Quotefix,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
205,2013-11-11,78,0,0,Tantax,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
206,2013-11-11,78,0,0,nimlab,Logistics,Logistics,Raw Materials,"Dayton, OH",Inclomplete,No Impact
207,2013-11-11,78,0,0,Matsanice,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
208,2013-11-11,78,0,0,bluecorporation,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
209,2013-11-11,78,0,0,bluecorporation,Materials & Components,Materials & Components,Raw Materials,"Chicago, IL",Inclomplete,No Impact
210,2013-11-01,78,0,0,zotit,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
211,2013-10-29,78,0,0,apzone,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
212,2013-10-29,78,0,0,Scotcan,Mechanicals,Mechanicals,Raw Materials,"Indianapolis, IN",Inclomplete,No Impact
213,2013-10-25,78,0,0,J-lax,Mechanicals,Mechanicals,Raw Materials,"Lansing, MI",Inclomplete,No Impact
214,2013-10-25,78,0,0,Duoflex,Mechanicals,Mechanicals,Raw Materials,"Lansing, MI",Inclomplete,No Impact
215,2013-10-23,78,0,0,Scotcan,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
216,2013-10-18,78,0,0,Condintex,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
217,2013-10-10,78,0,0,Condintex,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
218,2013-10-09,78,0,0,Rancan,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
219,2013-10-09,78,0,0,Rancan,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
220,2013-10-09,78,0,0,Strongtechnology,Mechanicals,Mechanicals,Raw Materials,"Lansing, MI",Inclomplete,No Impact
221,2013-10-09,78,0,0,Strongtechnology,Mechanicals,Mechanicals,Raw Materials,"Lansing, MI",Inclomplete,No Impact
222,2013-10-08,78,0,0,Villacom,Mechanicals,Mechanicals,Raw Materials,"Toledo, OH",Inclomplete,No Impact
223,2013-10-08,78,0,0,Streetplus,Mechanicals,Mechanicals,Raw Materials,"Lansing, MI",Inclomplete,No Impact
