AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,SCHEDULED_TIME,ELAPSED_TIME,DELAY_LEVEL
DL,DFW,ATL,2015-01-01 05:45:00,06:03:00,18.0,08:49:00,08:47:00,-2.0,124.0,104.0,1
EV,CHS,EWR,2015-01-01 05:45:00,05:40:00,-5.0,07:41:00,07:42:00,1.0,116.0,122.0,0
F9,MKE,DEN,2015-01-01 05:45:00,06:21:00,36.0,07:26:00,07:43:00,17.0,161.0,142.0,1
F9,MSP,DEN,2015-01-01 05:45:00,05:38:00,-7.0,06:54:00,06:46:00,-8.0,129.0,128.0,0
OO,DEN,LAX,2015-01-01 05:45:00,06:58:00,73.0,07:15:00,08:11:00,56.0,150.0,133.0,2
OO,SBA,DEN,2015-01-01 05:45:00,05:42:00,-3.0,09:19:00,09:29:00,10.0,154.0,167.0,0
HA,HNL,KOA,2015-01-01 05:48:00,05:40:00,-8.0,06:30:00,06:24:00,-6.0,42.0,44.0,0
B6,BOS,BUF,2015-01-01 05:49:00,05:40:00,-9.0,07:25:00,07:19:00,-6.0,96.0,99.0,0
UA,PDX,EWR,2015-01-01 05:50:00,05:47:00,-3.0,14:04:00,13:29:00,-35.0,314.0,282.0,0
US,IND,PHX,2015-01-01 05:50:00,05:45:00,-5.0,07:50:00,07:54:00,4.0,240.0,249.0,0
UA,LAX,DEN,2015-01-01 05:50:00,05:50:00,0.0,09:15:00,09:06:00,-9.0,145.0,136.0,0
UA,CLE,IAH,2015-01-01 05:50:00,06:29:00,39.0,08:04:00,08:47:00,43.0,194.0,198.0,1
UA,BOS,EWR,2015-01-01 05:50:00,05:52:00,2.0,07:18:00,06:59:00,-19.0,88.0,67.0,0
US,DEN,PHX,2015-01-01 05:50:00,05:50:00,0.0,07:49:00,07:39:00,-10.0,119.0,109.0,0
US,MCI,PHX,2015-01-01 05:50:00,05:44:00,-6.0,07:48:00,07:43:00,-5.0,178.0,179.0,0
AA,AUS,DFW,2015-01-01 05:50:00,05:48:00,-2.0,06:50:00,06:49:00,-1.0,60.0,61.0,0
AA,LAX,DFW,2015-01-01 05:50:00,06:00:00,10.0,10:50:00,10:52:00,2.0,180.0,172.0,1
DL,GSP,ATL,2015-01-01 05:50:00,05:50:00,0.0,06:49:00,06:49:00,0.0,59.0,59.0,0
B6,MCO,EWR,2015-01-01 05:50:00,05:48:00,-2.0,08:19:00,08:12:00,-7.0,149.0,144.0,0
EV,MCI,IAH,2015-01-01 05:50:00,05:48:00,-2.0,08:05:00,08:06:00,1.0,135.0,138.0,0
EV,BDL,IAD,2015-01-01 05:50:00,05:43:00,-7.0,07:18:00,06:59:00,-19.0,88.0,76.0,0
EV,RIC,IAH,2015-01-01 05:50:00,05:48:00,-2.0,08:15:00,08:28:00,13.0,205.0,220.0,0
OO,BFL,DEN,2015-01-01 05:50:00,05:56:00,6.0,09:20:00,09:40:00,20.0,150.0,164.0,1
OO,SAT,SFO,2015-01-01 05:50:00,05:57:00,7.0,07:59:00,07:40:00,-19.0,249.0,223.0,1
OO,OMA,IAH,2015-01-01 05:50:00,06:05:00,15.0,08:10:00,08:31:00,21.0,140.0,146.0,1
OO,RDM,DEN,2015-01-01 05:50:00,05:49:00,-1.0,09:13:00,09:19:00,6.0,143.0,150.0,0
B6,FLL,BDL,2015-01-01 05:53:00,05:51:00,-2.0,08:39:00,08:48:00,9.0,166.0,177.0,0
EV,CID,ATL,2015-01-01 05:54:00,05:54:00,0.0,09:05:00,08:48:00,-17.0,131.0,114.0,0
WN,SFO,DEN,2015-01-01 05:55:00,05:53:00,-2.0,09:25:00,09:23:00,-2.0,150.0,150.0,0
UA,MCO,LAX,2015-01-01 05:55:00,05:57:00,2.0,08:36:00,08:40:00,4.0,341.0,343.0,0
UA,TPA,EWR,2015-01-01 05:55:00,05:49:00,-6.0,08:31:00,08:18:00,-13.0,156.0,149.0,0
AA,SEA,DFW,2015-01-01 05:55:00,05:55:00,0.0,11:50:00,12:06:00,16.0,235.0,251.0,0
AA,BOS,DFW,2015-01-01 05:55:00,05:51:00,-4.0,09:30:00,09:20:00,-10.0,275.0,269.0,0
B6,SYR,JFK,2015-01-01 05:55:00,05:50:00,-5.0,07:18:00,07:05:00,-13.0,83.0,75.0,0
B6,ROC,JFK,2015-01-01 05:55:00,05:50:00,-5.0,07:20:00,07:03:00,-17.0,85.0,73.0,0
EV,TYR,DFW,2015-01-01 05:55:00,05:46:00,-9.0,06:45:00,06:36:00,-9.0,50.0,50.0,0
EV,MCI,ORD,2015-01-01 05:55:00,05:54:00,-1.0,07:29:00,07:17:00,-12.0,94.0,83.0,0
EV,LAN,ORD,2015-01-01 05:55:00,05:55:00,0.0,06:04:00,06:10:00,6.0,69.0,75.0,0
EV,BUF,EWR,2015-01-01 05:55:00,09:28:00,213.0,07:15:00,11:01:00,226.0,80.0,93.0,2
EV,GSO,EWR,2015-01-01 05:56:00,05:38:00,-18.0,07:30:00,07:08:00,-22.0,94.0,90.0,0
NK,ORD,LGA,2015-01-01 05:56:00,05:47:00,-9.0,09:00:00,09:27:00,27.0,124.0,160.0,0
UA,LAX,IAH,2015-01-01 05:57:00,05:55:00,-2.0,11:09:00,10:53:00,-16.0,192.0,178.0,0
AA,EWR,MIA,2015-01-01 05:59:00,05:52:00,-7.0,09:02:00,08:49:00,-13.0,183.0,177.0,0
OO,ONT,DEN,2015-01-01 05:59:00,07:58:00,119.0,09:20:00,11:16:00,116.0,141.0,138.0,2
UA,MSP,DEN,2015-01-01 06:00:00,05:56:00,-4.0,07:19:00,06:56:00,-23.0,139.0,120.0,0
UA,PBI,IAH,2015-01-01 06:00:00,05:55:00,-5.0,07:50:00,07:47:00,-3.0,170.0,172.0,0
UA,PHX,IAH,2015-01-01 06:00:00,07:51:00,111.0,09:28:00,11:31:00,123.0,148.0,160.0,2
UA,RSW,IAH,2015-01-01 06:00:00,06:00:00,0.0,07:36:00,07:35:00,-1.0,156.0,155.0,0
UA,EWR,MCO,2015-01-01 06:00:00,06:03:00,3.0,08:53:00,08:35:00,-18.0,173.0,152.0,0
UA,OMA,ORD,2015-01-01 06:00:00,06:12:00,12.0,07:37:00,07:31:00,-6.0,97.0,79.0,1
US,SMF,PHX,2015-01-01 06:00:00,05:51:00,-9.0,08:50:00,09:02:00,12.0,110.0,131.0,0
US,OAK,PHX,2015-01-01 06:00:00,05:58:00,-2.0,08:55:00,09:03:00,8.0,115.0,125.0,0
US,PVD,CLT,2015-01-01 06:00:00,05:55:00,-5.0,08:19:00,08:05:00,-14.0,139.0,130.0,0
UA,RNO,DEN,2015-01-01 06:00:00,05:57:00,-3.0,09:10:00,09:24:00,14.0,130.0,147.0,0
UA,PIT,IAH,2015-01-01 06:00:00,06:22:00,22.0,08:15:00,08:39:00,24.0,195.0,197.0,1
UA,DEN,IAH,2015-01-01 06:00:00,05:52:00,-8.0,09:22:00,09:18:00,-4.0,142.0,146.0,0
WN,BOS,BWI,2015-01-01 06:00:00,05:56:00,-4.0,07:45:00,07:19:00,-26.0,105.0,83.0,0
WN,LAS,BWI,2015-01-01 06:00:00,06:02:00,2.0,13:30:00,13:05:00,-25.0,270.0,243.0,0
WN,ABQ,HOU,2015-01-01 06:00:00,06:07:00,7.0,09:00:00,09:22:00,22.0,120.0,135.0,1
WN,PHX,SLC,2015-01-01 06:00:00,06:01:00,1.0,07:35:00,07:29:00,-6.0,95.0,88.0,0
WN,PIT,FLL,2015-01-01 06:00:00,05:59:00,-1.0,08:50:00,08:24:00,-26.0,170.0,145.0,0
WN,PVD,BWI,2015-01-01 06:00:00,06:06:00,6.0,07:40:00,07:27:00,-13.0,100.0,81.0,1
WN,SFO,ATL,2015-01-01 06:00:00,05:54:00,-6.0,13:40:00,13:24:00,-16.0,280.0,270.0,0
UA,SFO,ORD,2015-01-01 06:00:00,05:57:00,-3.0,12:17:00,12:13:00,-4.0,257.0,256.0,0
UA,MCO,EWR,2015-01-01 06:00:00,05:55:00,-5.0,08:34:00,08:16:00,-18.0,154.0,141.0,0
UA,PDX,IAH,2015-01-01 06:00:00,06:13:00,13.0,12:04:00,12:15:00,11.0,244.0,242.0,1
UA,BOS,ORD,2015-01-01 06:00:00,05:57:00,-3.0,07:53:00,07:42:00,-11.0,173.0,165.0,0
UA,SFO,LAX,2015-01-01 06:00:00,06:05:00,5.0,07:28:00,07:17:00,-11.0,88.0,72.0,0
UA,SAT,LAX,2015-01-01 06:00:00,06:16:00,16.0,07:27:00,07:24:00,-3.0,207.0,188.0,1
UA,BOS,LAX,2015-01-01 06:00:00,06:03:00,3.0,09:44:00,09:39:00,-5.0,404.0,396.0,0
UA,SEA,EWR,2015-01-01 06:00:00,06:06:00,6.0,14:11:00,13:57:00,-14.0,311.0,291.0,1
UA,LAX,ORD,2015-01-01 06:00:00,06:07:00,7.0,12:10:00,11:54:00,-16.0,250.0,227.0,1
US,IAH,PHX,2015-01-01 06:00:00,05:53:00,-7.0,07:50:00,07:46:00,-4.0,170.0,173.0,0
US,MCO,PHX,2015-01-01 06:00:00,05:57:00,-3.0,08:41:00,08:51:00,10.0,281.0,294.0,0
US,SFO,PHX,2015-01-01 06:00:00,05:57:00,-3.0,08:54:00,08:57:00,3.0,114.0,120.0,0
AA,DFW,MCO,2015-01-01 06:00:00,06:06:00,6.0,09:25:00,09:28:00,3.0,145.0,142.0,1
AA,MIA,PHL,2015-01-01 06:00:00,06:04:00,4.0,08:44:00,08:58:00,14.0,164.0,174.0,0
AA,SLC,DFW,2015-01-01 06:00:00,06:01:00,1.0,09:50:00,10:02:00,12.0,170.0,181.0,0
AA,MIA,DFW,2015-01-01 06:00:00,05:59:00,-1.0,08:14:00,08:13:00,-1.0,194.0,194.0,0
AA,BWI,MIA,2015-01-01 06:00:00,06:43:00,43.0,08:43:00,09:14:00,31.0,163.0,151.0,1
AA,DFW,LGA,2015-01-01 06:00:00,05:54:00,-6.0,10:10:00,10:05:00,-5.0,190.0,191.0,0
AA,DEN,ORD,2015-01-01 06:00:00,06:01:00,1.0,09:35:00,09:08:00,-27.0,155.0,127.0,0
AA,MCI,DFW,2015-01-01 06:00:00,06:06:00,6.0,07:45:00,07:48:00,3.0,105.0,102.0,1
AA,TUL,DFW,2015-01-01 06:00:00,05:56:00,-4.0,07:15:00,07:04:00,-11.0,75.0,68.0,0
AA,LGA,MIA,2015-01-01 06:00:00,07:08:00,68.0,09:12:00,10:02:00,50.0,192.0,174.0,2
AA,LIT,DFW,2015-01-01 06:00:00,05:55:00,-5.0,07:20:00,07:10:00,-10.0,80.0,75.0,0
AA,MIA,LGA,2015-01-01 06:00:00,05:58:00,-2.0,08:55:00,08:46:00,-9.0,175.0,168.0,0
AA,LAS,DFW,2015-01-01 06:00:00,05:57:00,-3.0,10:40:00,10:47:00,7.0,160.0,170.0,0
AA,PDX,DFW,2015-01-01 06:00:00,05:56:00,-4.0,11:45:00,11:42:00,-3.0,225.0,226.0,0
AA,TPA,DFW,2015-01-01 06:00:00,05:54:00,-6.0,07:50:00,07:30:00,-20.0,170.0,156.0,0
AA,SMF,DFW,2015-01-01 06:00:00,06:11:00,11.0,11:30:00,12:01:00,31.0,210.0,230.0,1
AA,MSY,MIA,2015-01-01 06:00:00,05:55:00,-5.0,08:49:00,08:36:00,-13.0,109.0,101.0,0
AA,LAX,ORD,2015-01-01 06:00:00,05:57:00,-3.0,12:05:00,11:39:00,-26.0,245.0,222.0,0
AA,OMA,DFW,2015-01-01 06:00:00,05:54:00,-6.0,08:00:00,08:05:00,5.0,120.0,131.0,0
AA,OKC,DFW,2015-01-01 06:00:00,06:10:00,10.0,07:05:00,07:35:00,30.0,65.0,85.0,1
AS,SEA,ANC,2015-01-01 06:00:00,05:57:00,-3.0,08:54:00,08:41:00,-13.0,234.0,224.0,0
AS,FAI,ANC,2015-01-01 06:00:00,05:44:00,-16.0,07:13:00,07:04:00,-9.0,73.0,80.0,0
AS,SEA,SJC,2015-01-01 06:00:00,05:50:00,-10.0,08:03:00,07:54:00,-9.0,123.0,124.0,0
AS,SEA,OAK,2015-01-01 06:00:00,05:55:00,-5.0,07:59:00,07:43:00,-16.0,119.0,108.0,0
AS,PDX,SJC,2015-01-01 06:00:00,05:55:00,-5.0,07:42:00,07:29:00,-13.0,102.0,94.0,0
AS,LAX,SEA,2015-01-01 06:00:00,05:55:00,-5.0,08:50:00,08:41:00,-9.0,170.0,166.0,0
AS,PHX,SEA,2015-01-01 06:00:00,05:55:00,-5.0,07:55:00,07:43:00,-12.0,175.0,168.0,0
AS,DEN,SEA,2015-01-01 06:00:00,05:49:00,-11.0,08:10:00,07:36:00,-34.0,190.0,167.0,0
AS,GEG,SEA,2015-01-01 06:00:00,05:58:00,-2.0,07:15:00,07:18:00,3.0,75.0,80.0,0
